dataset,backend,N,seed,attack,policy,gate_bypass_rate,gate_bypass_n,gate_bypass_ub95,semantic_far,conditional_unsafe,accept_rate,mean_set_size,singleton_frac,coverage,top1_acc
nslkdd,ML-DSA-65,128,2,A1_replay,signed,1.0,2176,,0.230247,0.230247,1.0,3.225,0.1161,0.9965,0.7698
nslkdd,ML-DSA-65,128,2,A1_replay,pcsp,0.0,2176,0.0013786764705882354,0.20752,0.229707,0.903409,3.225,0.1161,0.9965,0.7698
nslkdd,ML-DSA-65,128,2,A2_model_sub,raw,1.0,2176,,0.230247,0.230247,1.0,3.225,0.1161,0.9965,0.7698
nslkdd,ML-DSA-65,128,2,A2_model_sub,semantic,1.0,2176,,0.230247,0.230247,1.0,3.225,0.1161,0.9965,0.7698
nslkdd,ML-DSA-65,128,2,A2_model_sub,signed,0.0,2176,0.0013786764705882354,0.207608,0.229805,0.903409,3.225,0.1161,0.9965,0.7698
nslkdd,ML-DSA-65,128,2,A2_model_sub,pcsp,0.0,2176,0.0013786764705882354,0.207608,0.229805,0.903409,3.225,0.1161,0.9965,0.7698
nslkdd,ML-DSA-65,128,2,A3_evidence_mismatch,raw,1.0,2176,,0.230247,0.230247,1.0,3.225,0.1161,0.9965,0.7698
nslkdd,ML-DSA-65,128,2,A3_evidence_mismatch,semantic,1.0,2176,,0.230247,0.230247,1.0,3.225,0.1161,0.9965,0.7698
nslkdd,ML-DSA-65,128,2,A3_evidence_mismatch,signed,0.0,2176,0.0013786764705882354,0.206454,0.228528,0.903409,3.225,0.1161,0.9965,0.7698
nslkdd,ML-DSA-65,128,2,A3_evidence_mismatch,pcsp,0.0,2176,0.0013786764705882354,0.206454,0.228528,0.903409,3.225,0.1161,0.9965,0.7698
nslkdd,ML-DSA-65,128,2,A4_epoch_rollback,raw,1.0,2176,,0.230247,0.230247,1.0,3.225,0.1161,0.9965,0.7698
nslkdd,ML-DSA-65,128,2,A4_epoch_rollback,semantic,0.0,2176,0.0013786764705882354,0.207342,0.229511,0.903409,3.225,0.1161,0.9965,0.7698
nslkdd,ML-DSA-65,128,2,A4_epoch_rollback,signed,0.0,2176,0.0013786764705882354,0.207342,0.229511,0.903409,3.225,0.1161,0.9965,0.7698
nslkdd,ML-DSA-65,128,2,A4_epoch_rollback,pcsp,0.0,2176,0.0013786764705882354,0.207342,0.229511,0.903409,3.225,0.1161,0.9965,0.7698
nslkdd,ML-DSA-65,128,3,A1_replay,raw,1.0,2176,,0.226163,0.226163,1.0,3.423,0.1122,0.9997,0.7739
nslkdd,ML-DSA-65,128,3,A1_replay,semantic,0.0,2176,0.0013786764705882354,0.203791,0.22558,0.903409,3.423,0.1122,0.9997,0.7739
nslkdd,ML-DSA-65,128,3,A1_replay,signed,1.0,2176,,0.226163,0.226163,1.0,3.423,0.1122,0.9997,0.7739
nslkdd,ML-DSA-65,128,3,A1_replay,pcsp,0.0,2176,0.0013786764705882354,0.203791,0.22558,0.903409,3.423,0.1122,0.9997,0.7739
nslkdd,ML-DSA-65,128,3,A2_model_sub,raw,1.0,2176,,0.226163,0.226163,1.0,3.423,0.1122,0.9997,0.7739
nslkdd,ML-DSA-65,128,3,A2_model_sub,semantic,1.0,2176,,0.226163,0.226163,1.0,3.423,0.1122,0.9997,0.7739
nslkdd,ML-DSA-65,128,3,A2_model_sub,signed,0.0,2176,0.0013786764705882354,0.203658,0.225432,0.903409,3.423,0.1122,0.9997,0.7739
nslkdd,ML-DSA-65,128,3,A2_model_sub,pcsp,0.0,2176,0.0013786764705882354,0.203658,0.225432,0.903409,3.423,0.1122,0.9997,0.7739
nslkdd,ML-DSA-65,128,3,A3_evidence_mismatch,raw,1.0,2176,,0.226163,0.226163,1.0,3.423,0.1122,0.9997,0.7739
nslkdd,ML-DSA-65,128,3,A3_evidence_mismatch,semantic,1.0,2176,,0.226163,0.226163,1.0,3.423,0.1122,0.9997,0.7739
